id,label,type,definition,color,size,degree
https://data.crow.nl/imbor/term/2e18bbb9-1e29-40ba-ae32-00c619d6b5ba,WarmtebronTypeGeothermie,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Warmtebron en het attribuut type geothermie.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/75cab35e-a3ad-4084-906a-a248d0f06540,Materie,Collection,,#BDC3C7,6,271
https://data.crow.nl/imbor/term/311f3baf-fcde-4df3-81f0-f5822003de9a,Beton,Concept,"Een kunstmatig, steenachtig materiaal dat veelal is samengesteld uit het bindmiddel cement en uit een of meer toeslagmaterialen zoals zand, grind of steenslag.",#FFEAA7,5,22
https://data.crow.nl/imbor/term/6afebcf5-afdd-40b7-836f-aa8228c5d664,Point to point,Concept,"Een vorm van communicatie die beperkt is tot het versturen van informatie van een punt naar een ander punt, waarbij beide punten op elkaar aangesloten zijn met een kabel.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/89007bc8-92df-4925-ac7a-d7b1d585420e,Rookpaal,Concept,Een verankerde paal met een buitenasbak.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/2ac28d46-803e-45d4-8390-9d71e45858e1,Straatmeubilair,Concept,Constructie ter inrichting van de openbare ruimte niet verbonden met ondergrondse objecten.,#FFEAA7,5,87
https://data.crow.nl/imbor/term/1df4c2b9-3b1f-4232-bc01-fa803d40dcf3,Combikabel,Concept,"Kabel of stelsel van kabels, inclusief hulpaders, onder of boven de grond, die elektriciteit met een spanning lager dan 500 V kan transporteren.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/aff98990-e9b0-4a6c-89ac-1170ebf4d80b,Soortenarm grasland op zand,Concept,Grasachtige begroeiing op een zandbodem die dankzij de droge en voedselarme bodem weinig verschillende soorten herbergt.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/17af92bf-ed63-4517-a66b-85b4fec56930,Oefenmuur,Concept,"Een scheiding opgesteld op het midden van de tennisbaan, dat geslagen ballen terugkaatst, waardoor tennissers zonder tegenspeler kunnen trainen.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/b9d26ad7-19e9-42a6-92a8-b623d4390e74,DrainVerschijningsvorm,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Drain en het attribuut verschijningsvorm.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/4a2e5cdb-8235-43ee-bcb6-1032b161a336,Polijsten,Concept,Een behandeling waarbij een oppervlak glad en glanzend geschuurd.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/63504c7b-2a92-4235-b9ac-565633ecf366,kerende hoogte onder waterlijn,Concept,De verticale afstand gemeten vanaf de waterlijn richting de ondergrond waarvoor geldt dat het object een waterkerende functie vervult. Is van belang bij een oeverconstructie.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/9ac5b888-4580-48c8-9e04-638b0b5d18b5,TC-DEL LL,Concept,Compacte fluorescerende lamp (twee buizen) voor elektronische ballast. De code is ontleend aan het LBS Lampcodesysteem van Zentralverband Elektrotechnik und Elecktronikindustrie. De equivalente ILCOS-code is: FSQH.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/1391d289-3587-4d49-94c1-1c6d6c71c8b7,Route vrachtverkeer: hoofdroute,Concept,"De primaire, geplande af te leggen weg te gebruiken door voertuigen die grotere hoeveelheden goederen vervoeren.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/3816bd03-f0ed-439d-b334-be4480f0c113,afstand tot eindpunt,Concept,Afstand van de inlaat van de leiding tot het eindpunt.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/4d2fdcc7-38c5-46ce-8b60-1338ab3ae731,eendimensionale eigenschap,Concept,Bepaling van een afmeting in één richting.,#FFEAA7,5,92
https://data.crow.nl/imbor/term/bb6195f4-92d5-4834-b8a2-472407057945,Tunnel,Concept,"Een tunnel is een ondergrondse of overdekte doorgang, vaak gebruikt voor transport (wegen, spoorwegen), maar ook voor andere doeleinden zoals waterleidingen of communicatiekabels. Tunnels kunnen op verschillende manieren worden aangelegd, zoals door graven, afzinken of microtunneling.",#FFEAA7,5,7
https://data.crow.nl/imbor/term/eee47b11-0564-4662-89a2-ff0230ecda5a,Ondertunneling,Concept,"Ondergrondse of onder water gelegen verbinding tussen twee punten, aan beide einden voorzien van een open bakconstructie.",#FFEAA7,5,8
https://data.crow.nl/imbor/term/f8beb31a-64d8-4a16-8359-0e7ae2a7a421,Anders (vorm),Concept,Als de vorm van het object niet rechthoekig of rond is.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/f610b7ef-916f-48f1-8158-e2bf17dd00d7,VR03,Concept,Drukknop voetganger.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/4e8bc7e2-fe1a-4dbc-a5df-11cb40bdeccd,Informatiebord verkeerslicht,Concept,Categorie VR.,#FFEAA7,5,47
https://data.crow.nl/imbor/term/bfbab6a1-c58e-48ec-afc2-414619c0d3cc,Oorlogsmonument,Concept,Kunstobject of ander bouwwerk ten behoeve van het herdenken van oorlogsslachtoffers of -gebeurtenissen.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/1d81db5b-b6cd-4b68-a262-532cedd9414a,Momentane afslaglijn,Concept,Een profiellijn die de momentane afslagpunten in de lengterichting van de kust moet voorstellen.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/af06c680-4efd-4b17-8b93-6e35d6753451,R7s,Concept,Lampvoettype,#FFEAA7,5,5
https://data.crow.nl/imbor/term/48492590-9ba8-4dee-bdc3-79121414bbca,Strip,Concept,"Een dunne, langwerpige betonband bedoeld voor de afbakening evenwijdig aan de transportatierichting.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/50de2fd5-141f-4f4f-8dd1-a67bb785b4a4,Ontspanningsventiel,Concept,Ventiel dat wordt gebruikt om een persleiding te beluchten of te ontluchten.,#FFEAA7,5,8
https://data.crow.nl/imbor/term/839083ee-2433-4c81-b43c-4cf16432c5d3,Constructieonderdeel,Concept,Een onderdeel van een objecttype dat als zelfstandig objecttype beheerd kan worden.,#FFEAA7,5,83
https://data.crow.nl/imbor/term/26f01b3f-e30a-440f-a018-fab1126e43af,"0,50-0,50",Concept,Een markering met een lengtecomponent van vijftig centimeter met een ruimte tussen opeenvolgende markeringen van vijftig centimeter.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/520b7aa3-521c-44a0-9335-eaf13a5fd568,Curved Grind Rail,Concept,"Een gebogen metalen buis of staaf die bedoeld is om met een skateboard langs te 'grinden,' oftewel met het bord langs te schuren of schuiven.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/2dfe6c5a-74cf-48a5-9f53-97f1cf50d655,PutMaaiveldschematisering,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Put en het attribuut maaiveldschematisering.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/cbd834e4-1176-4f44-acf8-96d3b94eadea,Onderhoud-informatie,Concept,Gegevens die nodig zijn voor het plannen en registreren van het onderhoud van objecten.,#FFEAA7,5,7
https://data.crow.nl/imbor/term/683c7f65-d621-4a82-b2a0-adccf9ce9958,imei,Concept,Afkorting voor 'International Mobile Equipment Identity'; het nummer dat een mobiel toestel identificeert.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/bd05f275-9225-4041-8369-eddf3a572d62,Combinatie deklaag,Concept,"Type gedetailleerd van asfaltverharding, dichte deklagen; een verhardingslaag die de eigenschappen van cementbeton en asfalt combineert. De openingen in het zeer open asfaltbeton worden opgevuld met een cementvloeistof voor het realiseren van een semi-flexibele constructie. ",#FFEAA7,5,6
https://data.crow.nl/imbor/term/84c41e7a-4c14-4a1c-a84e-615c358aa0af,Veldspitsmuis,Concept,,#FFEAA7,5,4
https://data.crow.nl/imbor/term/031ca847-5f5d-44c8-b659-5f313778ecfe,Fietsklem,Concept,Een metalen frame die dient om een fietswiel in te klemmen.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/68c0e0b9-d50e-4f81-b871-d5607d3fff15,Hoogovenslakkenzand,Concept,"Een zeer fijn mengsel van hoogovenslakken, bijproducten van het smelten van ijzererts met cokes die in zeef- en breekinstallaties tot een materiaal voor onderlagen van verharding worden omgevormd.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/f877efbb-4b6f-48de-9428-46afc0d0bedf,Domeinwaarde,Collection,,#BDC3C7,31,5323
https://data.crow.nl/imbor/term/a889ee67-d4a7-402d-a514-d70d97a61e18,Polstokhoogspringbaan,Concept,"Een smalle, verharde baan bedoeld voor de aanloop naar het polstokhoogspringkussen.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/77bbe4de-6c47-4de6-b907-9efa9acac53a,BW204rh,Concept,Niet RVV1990-borden; parkeergelegenheid.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/196eeb42-be01-49e3-8f8c-e6543d40b236,Bouwspeelplaats,Concept,"Een speelterrein dat is ingericht teneinde kinderen en jongeren recreatieve bouwwerkzaamheden uit kunnen voeren, zoals het maken van hutten of vlotten met pallets of ander resthout.",#FFEAA7,5,6
https://data.crow.nl/imbor/term/b181e20c-34ab-46b8-94d1-3be5b16349aa,Watervlakte,Concept,"Een aan het oppervlak gelegen, niet lijnvormige, natuurlijke dan wel kunstmatige verdieping van de bodem die, eventueel periodiek, gevuld is met water.",#FFEAA7,5,18
https://data.crow.nl/imbor/term/ce768ba5-792d-4df9-a5d9-a308c8d6788b,Enumeratietype,Collection,,#BDC3C7,7,463
https://data.crow.nl/imbor/term/5fff393d-dcb2-49ff-a0ca-d219170f6012,SifonOnderhoudsregime,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Sifon en het attribuut onderhoudsregime.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/a6ef0b98-6e59-4600-ae8d-65daf794d7cb,Schutkolk,Concept,Deel van de sluis waarin de te schutten schepen afmeren en op een hoger of lager niveau worden gebracht.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/2d3fcc64-e300-44bd-a297-4430480be29e,Natuursteen gevlamd,Concept,Een natuursteen die ter afwerking behandeld is met vlammen die een thermische schok veroorzaken aan het materiaaloppervlak.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/4067513d-bc02-4ec8-bfae-f6902497376d,Natuursteen,Concept,"Een gesteente dat in de natuur wordt aangetroffen en dat na een eventuele bewerking, geschikt is als bouwmateriaal.",#FFEAA7,5,33
https://data.crow.nl/imbor/term/904fbfed-054a-4b0c-9592-743229e3051a,T22,Concept,1 rijstrook rechtdoor en einde rijstrook voor de naastliggende rijstrook met asverlegging.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/c7a21e5b-8881-4a8d-b9f6-8e065feb4e3c,Tijdelijk informatiebord,Concept,Categorie T: verkeersborden die in tijdelijke situaties worden geplaatst.,#FFEAA7,5,126
https://data.crow.nl/imbor/term/d1a89450-1a91-4ec4-a8f3-8b3a51d14783,Onbruikbaar,Concept,Object dat niet geschikt is om zijn functie te vervullen.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/40c86704-4ad6-4f1a-9480-49250645de69,doorvaartdiepte,Concept,De diepte van het water onder de brug of onder een doortvaartopening.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/3fed6b36-8e95-430a-bf82-c4fc665158f2,C07,Concept,Gesloten voor vrachtauto’s.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/908763fe-e745-45fb-ac25-9571aaa5e5f7,2G11,Concept,Lampvoettype,#FFEAA7,5,5
https://data.crow.nl/imbor/term/5a3ff4f6-327b-4280-a75b-e9cb80e5fdbd,Opschuif,Concept,"Bevestiging op basis van een ronde opening in/aan het armatuur zodat deze horizontaal op/aan een uithouder gemonteerd kan worden met schroeven/imbus. Hierbij is de diameter van de opening belangrijk om te weten, belangrijkste maten zijn ᴓ48, ᴓ60 en ᴓ76.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/88cc0a3e-cc7b-40b8-b637-e61842f565a7,SportEnSpelregelbordVerschijningsvorm,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Sport- en spelregelbord en het attribuut verschijningsvorm.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/f85f3e63-8731-4436-98dc-e9b3e2cf1ab3,Werk vanaf water,Concept,Om het object te bereiken moet het werk vanaf nabijgelegen oppervlaktewater uitgevoerd worden.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/ad7758e2-a188-4557-9e1b-bae93ba729f0,Raaipaal,Concept,"Paal, die een raai markeert. Raai is de verkorting van kilometerraai, de afgeperkte afstand van 1000m.",#FFEAA7,5,7
https://data.crow.nl/imbor/term/ab60e210-71f5-4e07-bfe6-6ceb3f232f7e,Gazon,Concept,"Verschijningsvorm: grasterrein met relatief uniform grasmengsel zonder onkruid, met een maximale hoogte van 70 mm, Functie: verfraaiing, onderdeel van de groenstructuur zoals vastgelegd in beleid, Beheer: Wordt veelal intensief gemaaid.",#FFEAA7,5,9
https://data.crow.nl/imbor/term/066e9bcc-f95c-4e8b-a9aa-f0af9c6532e3,BakVorm,Concept,Het enumeratietype voor de domeinwaardenlijst van de klasse Bak en het attribuut vorm.,#FFEAA7,5,5
https://data.crow.nl/imbor/term/6f2db1fb-729a-421a-83ee-60222c02ff68,Glasvezel versterkte kunststof,Concept,Een kunststof die is versterkt met een haarfijne vezel gemaakt van glas.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/f4ad0f8d-9213-4121-8c7b-4e81d9311a11,Enkele asstreep,Concept,"Wegmarkering in lengterichting die rijstroken voor verkeer in tegengestelde richtingen scheidt, uitgevoerd als enkele streep.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/7427c8e6-8d82-478e-aff4-824ec212fa1d,Busbaan,Concept,Rijbaan bestemd voor autobussen ten behoeve van het openbaar vervoer en andere erop toegelaten motorvoertuigen.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/2354dd63-7410-4a10-b577-5e65e2f7f8b3,E08h,Concept,Parkeergelegenheid alleen bestemd voor NS zonetaxi's.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/2d5677dc-7da2-4a9a-9302-5402384614da,Tunneltracé,Concept,Het gehele verkeerskundige gebied die tot de invloedssfeer van de tunnel behoort.,#FFEAA7,5,6
https://data.crow.nl/imbor/term/b8ef97b4-9c07-4ef8-a0c6-1b0191df33e4,Fronttee,Concept,"Op de 18 holes baan is voor de teeboxen veelal een front tee uitgemaaid in de semi rough. De onderhoudsmaatregelen betreffen de gras tee’s op de 18 holes baan, tenzij anders is aangegeven.",#FFEAA7,5,5
https://data.crow.nl/imbor/term/f7c61d4d-7805-4715-8762-0e73329516f0,Postcodegebied,Concept,Een gebied dat is ingedeel dop basis van door PostNL vastgestelde codes behorende bij een bepaalde combinatie van een naam openbare ruimte en een huisnummer.,#FFEAA7,5,6
