id,label,type,color,size,degree
http://dbpedia.org/ontology/routeDirection,route direction,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/firstRace,first race,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Model,model,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity,population metro density (/sqkm),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/BeachVolleyballPlayer,beach volleyball player,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/spokesperson,spokesperson,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/populationMetroDensity,population metro density (/sqkm),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/aggregation,Aggregation,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/isPartOfMilitaryConflict,is part of military conflict,ObjectProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/populationPctMen,population percentage male,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/averageAnnualGeneration,average annual gross power generation (J),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Valley,valley,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/Entomologist,entomologist,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/finalPublicationDate,final publication date,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/NationalFootballLeagueEvent,national football league event,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/bestWsopRank,best wsop rank,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/endYear,end year,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Archipelago,archipelago,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/headChef,head chef,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/network,network,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/budgetYear,budget year,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/mainArtist,main artist,ObjectProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/artist,performer,ObjectProperty,#BDC3C7,5,4
http://dbpedia.org/ontology/SpeedSkater,speed skater,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/numberOfPersonEntities,number of Person class (entities) in DBpedia,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/commandStructure,command structure,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/created,created,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/localizationThumbnailCaption,legend thumbnail localization,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/ceeb,ceeb,DatatypeProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/podiums,podiums,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/thirdCommander,third commander,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/LunarCrater/diameter,diameter (km),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/victory,victory,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Conifer,conifer,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/percentageLiterate,"percentage of a place's population that is literate, degree of analphabetism",DatatypeProperty,#BDC3C7,5,3
http://dbpedia.org/ontology/automobilePlatform,automobile platform,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/unNumber,UN number,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/alias,alias,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/digitalSubChannel,digital sub channel,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/jstor,JSTOR,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/bbr,BBR,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Infrastucture,infrastructure,Class,#FF6B6B,5,4
http://dbpedia.org/ontology/generalManager,general manager,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/typeOfElectrification,type of electrification,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/conflict,conflict,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/regionalPrefecture,regional prefecture,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/visitorsPercentageChange,visitor percentage change,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/MovingWalkway/height,height (mm),DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Atoll,atoll,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/center,norwegian center,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/industry,industry,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Scientist,scientist,Class,#FF6B6B,5,7
http://dbpedia.org/ontology/numberOfOutdegree,numberOfOutdegree,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/widthQuote,width quote,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/bioavailability,Bioavailability,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfUseOfProperty,number of use of a property,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/head,head,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/rebuildingDate,rebuilding date,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/schoolBoard,school board,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/march,march,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/rightChild,right child,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/grossDomesticProductPerPeople,gross domestic product per people,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/BiologicalDatabase,Biological database,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/CultivatedVariety,cultivar (cultivated variety),Class,#FF6B6B,5,3
http://dbpedia.org/ontology/biggestCity,biggest city,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/SoftballLeague,softball league,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/score,score,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/historicalRegion,historical region,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/significantDesign,significant design,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/NCAATeamSeason,national collegiate athletic association team season,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/numberOfVillages,number of villages,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/student,student,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/qatarClassic,qatar classic,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/sport,sport,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/fullScore,full score,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfGoals,number of goals scored,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/Annotation,Annotation,Class,#FF6B6B,5,4
http://dbpedia.org/ontology/PenaltyShootOut,penalty shoot-out,Class,#FF6B6B,5,3
http://dbpedia.org/ontology/currentLeague,current league,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/soccerTournamentThisSeason,this season,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/numberOfFilms,number of films,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/gymApparatus,gym apparatus,ObjectProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/buildingStartDate,building start date,DatatypeProperty,#BDC3C7,5,2
http://dbpedia.org/ontology/service,service,ObjectProperty,#BDC3C7,5,2
