source,target,source_label,target_label,predicate,predicate_label,edge_type
http://dbpedia.org/ontology/lieutenant,http://www.w3.org/2002/07/owl#ObjectProperty,lieutenant,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Novel,http://dbpedia.org/ontology/book,novel,name,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/bestRankSingle,http://www.w3.org/2002/07/owl#DatatypeProperty,best rank single,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/numberOfLifts,http://www.w3.org/2002/07/owl#DatatypeProperty,number of lifts,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/astrazenca,literal_6092709077191364737,Astrazenca,"""Astrazenca""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/urbanArea,literal_4908754873702738403,urban area,"""urban area""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/landtag,literal_-2708515276118643134,austrian land tag,"""austrian land tag""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/americanComedyAward,literal_-2880534705777278801,American Comedy Award,"""American Comedy Award""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/billed,literal_-6338761290942457165,billed,"""billed""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/buildingType,http://www.w3.org/2002/07/owl#ObjectProperty,buildingType,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/probowlPick,literal_6172876240018922840,pro bowl pick,"""pro bowl pick""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/wsopItm,literal_7647586829916697866,wsop itm,"""wsop itm""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/power,http://www.w3.org/2002/07/owl#DatatypeProperty,power,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/systemOfLaw,http://www.w3.org/2002/07/owl#ObjectProperty,system of law,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/codeNationalMonument,http://dbpedia.org/ontology/code,monument code (national),code,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,subPropertyOf,subPropertyOf
http://dbpedia.org/ontology/specialization,literal_6241067022142126862,specialization,"""specialization""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/Painter,literal_7109391020980095352,painter,"""painter""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/budget,literal_-2355048339254501324,budget ($),"""budget ($)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/spurType,literal_941525841871062746,spur type,"""spur type""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/introductionDate,literal_-1133753230391292363,introduction date,"""introduction date""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/numberOfParkingSpaces,http://www.w3.org/2002/07/owl#DatatypeProperty,number of parking spaces,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/orderDate,http://www.w3.org/2002/07/owl#DatatypeProperty,order date,DatatypeProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/closingDate,literal_2337751557075699980,closing date,"""closing date""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/order,literal_-2410197612920487960,order (taxonomy),"""order (taxonomy)""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/booster,literal_-8932153178627337028,booster,"""booster""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/SpeedwayRider,http://dbpedia.org/ontology/MotorcycleRider,speedway rider,motorcycle rider,http://www.w3.org/2000/01/rdf-schema#subClassOf,subClassOf,subClassOf
http://dbpedia.org/ontology/Lieutenant,http://www.w3.org/2002/07/owl#Class,lieutenant,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/capitalPlace,http://www.w3.org/2002/07/owl#ObjectProperty,capital place,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/organ,http://www.w3.org/2002/07/owl#ObjectProperty,organ,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Contest,literal_6227377541834245720,contest,"""contest""",http://www.w3.org/2000/01/rdf-schema#label,label,label
http://dbpedia.org/ontology/inflow,http://www.w3.org/2002/07/owl#ObjectProperty,inflow,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/Eukaryote,http://www.w3.org/2002/07/owl#Class,eukaryote,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/layout,http://www.w3.org/2002/07/owl#ObjectProperty,layout,ObjectProperty,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,type,type
http://dbpedia.org/ontology/millsCodeNLVerdwenen,literal_4646422935940635171,mill dissapeared code NL,"""mill dissapeared code NL""",http://www.w3.org/2000/01/rdf-schema#label,label,label
